料理カテゴリ,店舗数,割合(%)
居酒屋,1706,17.8
焼肉,905,9.5
ラーメン,563,5.9
バー,445,4.6
中華料理,403,4.2
イタリアン,377,3.9
焼き鳥,345,3.6
カフェ,309,3.2
寿司,302,3.2
ダイニングバー,210,2.2
餃子,152,1.6
お好み焼き,141,1.5
その他,141,1.5
そば,134,1.4
海鮮,126,1.3
ステーキ,117,1.2
韓国料理,116,1.2
とんかつ,112,1.2
タイ料理,106,1.1
日本料理,102,1.1
