,20~75,75~150
AVG_MONTHLY_POPULATION,0.14292706424560286,-0.2200680477903702
NEAREST_STATION_INFO_count,0.07022506221984486,0.04455162474505289
DISTANCE_VALUE,-0.10862871136136647,0.24517026793194313
RATING_CNT,-0.05148308524890903,0.008396165058284081
RATING_SCORE,-0.2596092095270814,0.059640958107833875
IS_FAMILY_FRIENDLY,-0.09888778236180554,
IS_FRIEND_FRIENDLY,-0.33721882767709654,0.2925435070197483
IS_ALONE_FRIENDLY,-0.08942638143830253,-0.36009749072979785
DINNER_INFO,0.221125064227323,
LUNCH_INFO,0.22513369457006102,0.06255402659710065
DINNER_PRICE,0.17773998373023644,0.08686056718456892
LUNCH_PRICE,0.09021128013744642,0.03811264788999965
HOLIDAY,0.08003621690823964,-0.36009749072979785
HOME_PAGE_URL,0.2364628688497713,-0.03853255925962831
PHONE_NUM,-0.06611740985965449,
NUM_SEATS,-0.02334817632989326,-0.32515874439515274
AGE_RESTAURANT,-0.1897018530282008,0.2396841434506664
CITY_count,0.19693025098538097,-0.05177753909496566
rate_count,-0.01840441766776244,0.0025852675387153033
seats_rate_count,-0.03160308822211546,-0.24845573580490593
