,20~75,75~150
AVG_MONTHLY_POPULATION,0.28576882724855446,-0.1684577939249017
NEAREST_STATION_INFO_count,0.2510881012096795,-0.5038206100756158
DISTANCE_VALUE,-0.0631967606679909,-0.2700118337589945
RATING_CNT,0.06596551634242155,-0.2999964197898001
RATING_SCORE,0.11965038017937135,-0.03451794241658015
IS_FAMILY_FRIENDLY,0.09812472238159516,-0.1794781490485121
IS_FRIEND_FRIENDLY,0.16985185544341927,-0.20589678455485164
IS_ALONE_FRIENDLY,-0.09317797275955543,-0.2262632808757305
DINNER_INFO,0.09583840197984285,
LUNCH_INFO,0.09544464725595811,0.037129476945213256
DINNER_PRICE,-0.021615576383101374,-0.016678908085721023
LUNCH_PRICE,-0.08494610074697576,0.09256021485383983
HOLIDAY,-0.034516024518819216,
HOME_PAGE_URL,0.1152243566338985,-0.012416214178464058
PHONE_NUM,,
NUM_SEATS,0.17732021443119297,0.09983491209658868
AGE_RESTAURANT,0.18449618882523033,-0.07649353599421008
CITY_count,0.15312711789806271,-0.09580337219292892
rate_count,0.060638713968832414,-0.2786774179396282
seats_rate_count,0.1123509285828084,-0.03978614742751627
