,20~75,75~150,150~300,300~
AVG_MONTHLY_POPULATION,-0.08825556011045682,0.24832834348339236,-0.011003484753780244,-0.5115774929710402
NEAREST_STATION_INFO_count,-0.062314681339822146,0.22282127180400657,0.04763853978987388,-0.16817073722654072
DISTANCE_VALUE,-0.058280960488051245,0.036314110982784725,-0.2923751937038603,0.17049229227913054
RATING_CNT,0.09344636194266305,-0.16436380533208064,0.3697486555164868,0.1410696722628687
RATING_SCORE,-0.020890290559562683,0.010817437770877977,-0.18022616712526676,0.10315462443324855
IS_FAMILY_FRIENDLY,0.03449544498231687,0.05860232931038039,-0.02504044692739632,-0.20828073152031493
IS_FRIEND_FRIENDLY,0.0309010826847009,-0.13346048495534543,0.3099805986341371,-0.2278419790661789
IS_ALONE_FRIENDLY,-0.12603060320895376,0.09792640519715631,,-0.2278419790661789
DINNER_INFO,0.024171758398819285,-0.2659398112677701,0.0178439881877903,0.07000659382822576
LUNCH_INFO,-0.027054439535054483,-0.19950213442722306,-0.31939320568283397,-0.32953730878936144
DINNER_PRICE,0.07298005683115043,-0.09659258738793161,0.0250505508674146,0.205448529008819
LUNCH_PRICE,0.07881458320402494,-0.17662385196438282,-0.09795994544217775,-0.3814757891959166
HOLIDAY,-0.15125650398559876,-0.2619259143329344,0.25530450889925316,
HOME_PAGE_URL,0.010715769711442003,0.08553451912387944,-0.24984186233189087,-0.13127422852217166
PHONE_NUM,-0.17330893990503554,0.4336819500765203,-0.02733883301826348,-0.4349901559088034
NUM_SEATS,-0.044997075028088064,-0.18686379889056906,0.347035533627405,0.1861180327210079
AGE_RESTAURANT,0.06049776363633477,-0.3114176113316886,0.4292526774224183,0.1291224597344584
CITY_count,-0.05191047751655887,0.007506555590467856,0.21709136467493134,0.00533481526844974
rate_count,0.08469098363455788,-0.1648705160714594,0.36871837738814284,0.1413434546381853
seats_rate_count,0.09798696152481048,-0.18498585207534238,0.37415414717399464,0.16139214011835212
