,20~75,75~150,150~300
AVG_MONTHLY_POPULATION,-0.0991456856788289,0.18625825815929495,0.2475004158174656
NEAREST_STATION_INFO_count,-0.06977877742817706,0.6160733958586391,0.2734103091209342
DISTANCE_VALUE,-0.3233292410143682,0.14064333607265245,-0.1189666338333714
RATING_CNT,0.34518592301513845,0.6687164963420551,-0.10876357928641783
RATING_SCORE,0.026801503445977332,0.8313533176093425,-0.1867747317125448
IS_FAMILY_FRIENDLY,0.30318798107855993,-0.21644077960473246,0.022459882340149433
IS_FRIEND_FRIENDLY,-0.011962630920934384,0.05093378879290495,-0.1336600615562891
IS_ALONE_FRIENDLY,0.11466224260042618,-0.015777791598168896,
DINNER_INFO,0.13948139085914585,,
LUNCH_INFO,0.16403112578132134,,
DINNER_PRICE,0.11049271117003336,0.2074049259451522,-0.36174867479612455
LUNCH_PRICE,0.15792945865039917,0.2074049259451522,-0.36174867479612455
HOLIDAY,-0.2093159920772395,0.5317380527079426,-0.07119422474705843
HOME_PAGE_URL,-0.08865003214566751,0.2621477947462333,-0.09395351607304038
PHONE_NUM,0.03436254316902394,0.3666770682055571,-0.17486362145780315
NUM_SEATS,0.11900960439249575,0.34333811665046043,-0.15191253579077246
AGE_RESTAURANT,-0.0011945969471766542,0.5649162192456576,-0.06786673734936244
CITY_count,-0.29034449462720524,0.7595804867603092,-0.04436680190809447
rate_count,0.34994961626423726,0.7420352045161053,-0.12927504415048524
seats_rate_count,0.2843291101487411,0.6931426050763682,-0.09356537038283598
