,20~75,75~150
AVG_MONTHLY_POPULATION,-0.08670889672849255,0.6007017781615901
NEAREST_STATION_INFO_count,0.3675788464136807,0.44151201657178535
DISTANCE_VALUE,0.12385530303046087,-0.701219879754033
RATING_CNT,0.06608265759803178,-0.5219055028316517
RATING_SCORE,0.17327711458842598,-0.14767802165397298
IS_FAMILY_FRIENDLY,0.1182264214958195,0.09214311400647002
IS_FRIEND_FRIENDLY,0.0011952839873644806,-0.13962003877867057
IS_ALONE_FRIENDLY,-0.24277183710244343,-0.12551229373298328
DINNER_INFO,0.3280062807921613,
LUNCH_INFO,-0.09902095537884749,
DINNER_PRICE,0.29211995323069617,0.10952790636473458
LUNCH_PRICE,-0.04036636083873988,0.29258747981599265
HOLIDAY,0.283829741020536,
HOME_PAGE_URL,-0.06786886196708605,0.16659351536504513
PHONE_NUM,-0.011581857075386228,-0.08075483784713813
NUM_SEATS,0.027097256602097154,0.2750486973120064
AGE_RESTAURANT,-0.36987306466468106,-0.29991286705986236
CITY_count,0.2120236919479206,0.15001516035171392
rate_count,0.034264511246218744,-0.49357297566940417
seats_rate_count,0.058335601978142214,-0.3682759538212613
