料理カテゴリ,店舗数,割合(%)
居酒屋,984,17.8
焼肉,347,6.3
バー,326,5.9
ラーメン,301,5.5
中華料理,253,4.6
イタリアン,242,4.4
カフェ,197,3.6
焼き鳥,189,3.4
寿司,177,3.2
ダイニングバー,137,2.5
