,20~75,75~150,300~
CITY_count,0.0,0.5356737522429795,0.0
DINNER_INFO,0.0,0.3765483823269085,0.494792449021481
DINNER_PRICE,0.37927832969692554,0.0,0.0
HOLIDAY,0.0,0.37654838232690846,0.0
IS_FAMILY_FRIENDLY,0.0,0.0,0.494792449021481
LUNCH_INFO,0.0,0.3765483823269085,0.494792449021481
PHONE_NUM,0.4243843954970156,0.0,0.0
RATING_CNT,0.37677964188750857,0.28546774749518533,0.0
RATING_SCORE,0.40347551937527004,0.0,0.5277299581591921
rate_count,0.0,0.0,0.43387848873179147
seats_rate_count,0.49331314925317526,0.0,0.0
