料理カテゴリ,店舗数,割合(%)
居酒屋,322,16.7
焼肉,241,12.5
ラーメン,136,7.1
中華料理,83,4.3
バー,76,4.0
イタリアン,73,3.8
焼き鳥,69,3.6
カフェ,61,3.2
寿司,50,2.6
ダイニングバー,37,1.9
