クラスタ数,平均シルエットスコア,最大シルエットスコア,最小シルエットスコア,分析カテゴリ数
3,0.42932527718759267,0.5474839571998877,0.3634995806549675,35
4,0.42932527718759267,0.5474839571998877,0.3634995806549675,35
5,0.42932527718759267,0.5474839571998877,0.3634995806549675,35
6,0.42932527718759267,0.5474839571998877,0.3634995806549675,35
