,20~75
AVG_MONTHLY_POPULATION,-0.09077073727105481
NEAREST_STATION_INFO_count,-0.055027450673832676
DISTANCE_VALUE,0.2363075574665196
RATING_CNT,-0.05669845658256658
RATING_SCORE,-0.22136049897631485
IS_FAMILY_FRIENDLY,-0.09889209116669333
IS_FRIEND_FRIENDLY,0.003918272516247436
IS_ALONE_FRIENDLY,0.09403021736396326
DINNER_INFO,0.11194385163535264
LUNCH_INFO,0.16016753650162588
DINNER_PRICE,0.02579912816062092
LUNCH_PRICE,0.016888546798823713
HOLIDAY,0.11877345584912502
HOME_PAGE_URL,0.004188023320434107
PHONE_NUM,-0.01864192751633841
NUM_SEATS,-0.14162747370128906
AGE_RESTAURANT,0.10067823555625302
CITY_count,0.13772661397660999
rate_count,-0.08483045763355283
seats_rate_count,-0.01347900269887294
