,20~75
AVG_MONTHLY_POPULATION,0.05620704862149834
NEAREST_STATION_INFO_count,-0.2623017224491302
DISTANCE_VALUE,-0.10276605195815734
RATING_CNT,-0.24999017741221216
RATING_SCORE,-0.17125592751230187
IS_FAMILY_FRIENDLY,0.020578550204002
IS_FRIEND_FRIENDLY,0.05992074946501872
IS_ALONE_FRIENDLY,0.06935502636201457
DINNER_INFO,0.1905317714631057
LUNCH_INFO,0.25711607851673485
DINNER_PRICE,-0.19653984014466258
LUNCH_PRICE,-0.07966486786360794
HOLIDAY,-0.29047916701550647
HOME_PAGE_URL,0.11599366592532295
PHONE_NUM,-0.008674926118459223
NUM_SEATS,0.06268675777675843
AGE_RESTAURANT,0.08711120666613474
CITY_count,-0.15585216757443726
rate_count,-0.2596368886354076
seats_rate_count,-0.18603393639974922
