,20~75,75~150,150~300
AVG_MONTHLY_POPULATION,0.1957132018019138,0.19245037798460946,0.21781466099006516
NEAREST_STATION_INFO_count,0.10436843926070778,-0.502545022887729,0.06019994058247567
DISTANCE_VALUE,0.013651491760314664,-0.029873809107270128,0.05261081596255729
RATING_CNT,-0.23069878305304378,0.03203575659467082,0.267555466257517
RATING_SCORE,-0.03937967223132279,0.20179714523726655,0.23422716479547565
IS_FAMILY_FRIENDLY,-0.005643790699742457,-0.08128354756156592,0.44431503733249517
IS_FRIEND_FRIENDLY,-0.13596404867561002,-0.4103417711383971,-0.5103180436001409
IS_ALONE_FRIENDLY,0.03717927755643104,0.4019331282872014,-0.051750244676851576
DINNER_INFO,-0.2960325071600895,-0.04652799262456382,0.17069770647914276
LUNCH_INFO,0.020522875271790017,0.27459903490349136,0.17069770647914276
DINNER_PRICE,-0.25956057934618204,0.03618010831612484,0.5064961047531292
LUNCH_PRICE,-0.04874846560688771,0.019972307590156124,0.3605206224304798
HOLIDAY,,-0.321963800517857,
HOME_PAGE_URL,0.1754233518507702,-0.08688930946236319,0.17069770647914276
PHONE_NUM,-0.18212563962012393,0.2486296878825531,
NUM_SEATS,-0.2082477309963558,-0.02790002430439171,-0.32103703005566614
AGE_RESTAURANT,0.087617511753764,-0.05453626208566067,-0.2808714660495041
CITY_count,-0.2281413278760991,-0.14541074736569137,0.22717792583566543
rate_count,-0.24557639777385834,0.03223034217981277,0.2692939407548966
seats_rate_count,-0.236954540399377,0.043983596853962484,0.10163004242738946
