,20~75,75~150
AVG_MONTHLY_POPULATION,0.09089700586331499,-0.31364730589242823
NEAREST_STATION_INFO_count,0.08592174938350482,-0.21019405405853553
DISTANCE_VALUE,-0.13542345580706913,-0.5540676406333612
RATING_CNT,0.13714670369764098,-0.1662922550243237
RATING_SCORE,-0.21821639263690432,0.15626002384579352
IS_FAMILY_FRIENDLY,0.2980246404705437,-0.19877726365513604
IS_FRIEND_FRIENDLY,0.017005162235913605,-0.17137545821157893
IS_ALONE_FRIENDLY,0.3890200335892464,-0.19946230879122484
DINNER_INFO,0.0921932041853659,
LUNCH_INFO,0.3697581992802889,-0.4776686362398789
DINNER_PRICE,-0.2461357244445428,-0.07723697058408334
LUNCH_PRICE,-0.4137979832469603,0.07042076245567527
HOLIDAY,0.02294323732894247,-0.21293486313430693
HOME_PAGE_URL,0.3812505969201481,-0.009286089412153007
PHONE_NUM,-0.19512736419815307,0.07137175433125904
NUM_SEATS,0.4051267651014313,-0.25237502628531366
AGE_RESTAURANT,-0.1320097891673202,-0.11149580336640319
CITY_count,0.11719682739645249,0.12536056107382385
rate_count,0.04867582717806046,-0.1559998328547323
seats_rate_count,0.20807159076537007,-0.2015558656019626
