モデル,テスト精度,CV精度(平均),CV精度(標準偏差)
LightGBM,0.57911227154047,0.5775106459540259,0.0022063507744962837
SVM,0.5759791122715404,0.5760741882726524,0.00020784428936024743
Random Forest,0.574934725848564,0.5803835613167727,0.0029337167511859627
