,precision,recall,f1-score,support
120~,0.4697286012526096,0.41899441340782123,0.44291338582677164,537.0
20~50,0.5047951176983435,0.726474278544542,0.595679012345679,797.0
50~120,0.3391003460207612,0.1686746987951807,0.22528735632183908,581.0
accuracy,0.4710182767624021,0.4710182767624021,0.4710182767624021,0.4710182767624021
macro avg,0.4378746883239048,0.43804779691584805,0.42129325149809654,1915.0
weighted avg,0.44469100194062317,0.4710182767624021,0.4404661175203505,1915.0
