,20~75
AVG_MONTHLY_POPULATION,-0.11660839835071635
NEAREST_STATION_INFO_count,-0.02134086333170392
DISTANCE_VALUE,-0.10690239739048187
RATING_CNT,0.3355662116494911
RATING_SCORE,0.3078705568618932
IS_FAMILY_FRIENDLY,-0.0038316225412148223
IS_FRIEND_FRIENDLY,-0.12099244707035738
IS_ALONE_FRIENDLY,0.2042729651995175
DINNER_INFO,0.08714925975472028
LUNCH_INFO,0.005531800508162917
DINNER_PRICE,-0.10754279529651625
LUNCH_PRICE,-0.13687895730764538
HOLIDAY,-0.1883412360059065
HOME_PAGE_URL,0.034030470323252016
PHONE_NUM,0.15017898513084588
NUM_SEATS,-0.05793235792218962
AGE_RESTAURANT,0.12218572612677427
CITY_count,0.07708599902776707
rate_count,0.24643389332923962
seats_rate_count,0.46836503815385283
