,20~75,75~150,150~300,300~
AVG_MONTHLY_POPULATION,-0.03873069956452794,-0.11091141641559314,0.11835766707862527,0.13284684557534926
NEAREST_STATION_INFO_count,-0.06638661050528742,0.1309759831071744,-0.14596391431044137,0.26201205530680005
DISTANCE_VALUE,-0.00205595526292503,-0.025602065342556914,-0.24662584628199447,0.015778006897866587
RATING_CNT,0.030723948920225768,0.025677217103771566,0.20043612962853113,0.17067253991865988
RATING_SCORE,-0.10676839835735473,-0.004755489604930246,-0.1719487124881414,0.15923518068052536
IS_FAMILY_FRIENDLY,-0.12427809892639259,-0.13110214412606805,0.15099142441050348,0.4839085040069865
IS_FRIEND_FRIENDLY,-0.04070029886564983,0.0927371764742931,0.030710950590121345,-0.16364945216035823
IS_ALONE_FRIENDLY,-0.1549263323478884,0.12420055106494036,0.0288544115963693,0.29551836445644475
DINNER_INFO,-0.10378327512257823,0.11596582093293564,0.29112419028047765,0.2544898406127309
LUNCH_INFO,-0.17543236010215346,0.0433805516716743,0.0008758755960787397,0.10396758938461798
DINNER_PRICE,0.028485690026849288,0.03412264986107354,-0.058151010964885695,0.40695182656532336
LUNCH_PRICE,0.0831315810946378,-0.021316035486251616,-0.038579029122848676,0.18239805178053065
HOLIDAY,-0.06743611563255818,-0.20393164210195805,0.018572422231370712,0.16938344384519524
HOME_PAGE_URL,-0.1475860081761189,0.04620425835723825,0.017411234129612874,-0.042904474788082646
PHONE_NUM,-0.06974833181701962,0.062376216386161094,0.3234700380696369,0.0527697816685051
NUM_SEATS,-0.06541413129948202,0.04531254873555936,0.03347821367124912,0.2237252585488498
AGE_RESTAURANT,-0.08539890972516327,0.1280078882104866,0.11599108758495705,-0.09846125710553658
CITY_count,0.011089078630691756,0.1060070906018287,0.21168571089934168,0.17156573956089444
rate_count,0.03741607867186406,-0.0038610087655863747,0.19446511349802648,0.1853288597981692
seats_rate_count,0.04063999897122753,0.035134342889993536,0.16454434367634826,-0.023555232245976235
