,precision,recall,f1-score,support
120~,0.45454545454545453,0.42830540037243947,0.44103547459252157,537.0
20~50,0.5079962370649106,0.6775407779171895,0.5806451612903226,797.0
50~120,0.3265895953757225,0.1944922547332186,0.24379719525350593,581.0
accuracy,0.4610966057441253,0.4610966057441253,0.4610966057441253,0.4610966057441253
macro avg,0.42971042899536255,0.4334461443409492,0.4218259437121166,1915.0
weighted avg,0.4379699555848238,0.4610966057441253,0.4392983884317797,1915.0
