,20~75,75~150,150~300
AVG_MONTHLY_POPULATION,0.12079474517198197,-0.2069063422334007,-0.05601140458849771
NEAREST_STATION_INFO_count,0.1457745618642025,-0.13116909576996535,0.6267150296313025
DISTANCE_VALUE,-0.03591581805021834,0.02653246294859522,0.5380004171801193
RATING_CNT,0.14964425658436725,-0.3423390244239537,0.40750033294202154
RATING_SCORE,0.051875350599998954,-0.44422780493341646,0.633768028391575
IS_FAMILY_FRIENDLY,0.1136174540722311,-0.07886855448814488,-0.10184641656324456
IS_FRIEND_FRIENDLY,0.10188693111788748,-0.2856325602451735,0.11728883351507693
IS_ALONE_FRIENDLY,-0.12300495163785485,-0.09297305106250316,
DINNER_INFO,0.0738874591702511,-0.05129470911704271,0.299557903976187
LUNCH_INFO,-0.0030102599775014807,-0.1954367760549441,-0.5418814932750363
DINNER_PRICE,-0.12167085425586956,0.47760130989284755,0.5257226652836015
LUNCH_PRICE,-0.11153909842369822,-0.27050162446465914,-0.08070744006937781
HOLIDAY,-0.15232361295785224,,0.13423585319687473
HOME_PAGE_URL,0.05521189536734951,-0.18967371517016882,0.2617857349928953
PHONE_NUM,0.1717141250108908,0.164528180650699,0.3567847677074875
NUM_SEATS,0.27928518383029133,0.1366097866427828,-0.04033195620455275
AGE_RESTAURANT,0.1454915948178072,-0.26812682609961713,0.34074886652114045
CITY_count,0.04379244813064472,-0.16847710255562723,0.49554708916655466
rate_count,0.12857427411483,-0.3415990932070861,0.41611775794598904
seats_rate_count,0.13814528732025877,-0.22224444604828583,0.6488168047212463
