,20~75,75~150,150~300,300~
AVG_MONTHLY_POPULATION,0.03427380298972166,0.023958721821889208,-0.18469329237553792,0.1398374384387858
NEAREST_STATION_INFO_count,0.00685864121112307,-0.04086360809912976,0.06948676583366364,0.5145224207965404
DISTANCE_VALUE,-0.030624914794625552,-0.03908715139629145,0.33484864669199377,0.4111280054204143
RATING_CNT,-0.030550468596293172,0.027983936511140183,-0.14763936824229065,-0.032097979478992344
RATING_SCORE,-0.04755459544903594,0.14127699446030365,-0.08182312547445149,0.12403702538924732
IS_FAMILY_FRIENDLY,0.047341760243766774,0.12697680307789963,,
IS_FRIEND_FRIENDLY,-0.14302275738717668,0.3279637897198221,0.030164705631767555,0.060619910328513715
IS_ALONE_FRIENDLY,0.04556056306292164,0.07374501090842002,-0.3314350380273694,0.3149427374678048
DINNER_INFO,0.03127964523244572,0.019648220927113408,-0.11984467775147661,0.1341119562014862
LUNCH_INFO,0.08229757185004682,-0.08125796875080216,0.5134703351496204,0.4284809088222755
DINNER_PRICE,0.04488541523732208,-0.04560015525704925,-0.056616202235120455,-0.08522019155438104
LUNCH_PRICE,-0.029767610606503844,-0.16715124348008142,0.13137993648703924,-0.15615297873602074
HOLIDAY,-0.08860658720840504,-0.06803875010697133,,0.04527686549552619
HOME_PAGE_URL,-0.01437682648469865,-0.09745469628494603,-0.14643920591352494,0.25014860025363456
PHONE_NUM,0.07667076229006868,0.13611588638065106,-0.4282051331096789,0.03229950181861626
NUM_SEATS,0.07932280803673453,0.10135245330066472,-0.22279984343972092,-0.01512631244270013
AGE_RESTAURANT,-0.11795415231808852,0.016275240774682714,-0.2385034630716554,-0.14341213695401994
CITY_count,0.0028962927603916715,0.23377234125910729,-0.048990731561260006,0.3010135791624977
rate_count,-0.027289550341133905,0.010334798313310892,-0.1882196109496798,-0.028830448773905854
seats_rate_count,-0.010141188886256262,0.12069570737794254,-0.18633842519883467,0.006217094856980052
