,20~75
AVG_MONTHLY_POPULATION,-0.05617806646954373
NEAREST_STATION_INFO_count,0.294708441294788
DISTANCE_VALUE,0.1602148163277135
RATING_CNT,0.2592217309316519
RATING_SCORE,-0.028350883491287133
IS_FAMILY_FRIENDLY,0.19721979015432192
IS_FRIEND_FRIENDLY,0.31956758694793336
IS_ALONE_FRIENDLY,-0.26417162601500843
DINNER_INFO,
LUNCH_INFO,-0.3070373072110495
DINNER_PRICE,-0.2482737478754783
LUNCH_PRICE,0.1763580508386356
HOLIDAY,-0.14265292141572444
HOME_PAGE_URL,0.1009513662127612
PHONE_NUM,0.0819795168423027
NUM_SEATS,0.16259905704694597
AGE_RESTAURANT,0.35596800663311917
CITY_count,-0.3904129982892944
rate_count,0.16091035998376294
seats_rate_count,0.2092586964558346
