,20~75,75~150
AVG_MONTHLY_POPULATION,-0.1452057481313762,0.10906916906708064
NEAREST_STATION_INFO_count,0.220558455162076,0.23489388083379273
DISTANCE_VALUE,0.19311961423261045,-0.5194366565155574
RATING_CNT,0.033191782710114935,0.07174275409811134
RATING_SCORE,0.17324077696963713,0.012379063057653647
IS_FAMILY_FRIENDLY,0.1282270705135444,0.07792129491549998
IS_FRIEND_FRIENDLY,0.1085919522889342,-0.032340232792251476
IS_ALONE_FRIENDLY,-0.07406696372410446,-0.02549112934305234
DINNER_INFO,-0.19368603467685655,
LUNCH_INFO,0.09902058350182058,
DINNER_PRICE,-0.18607236341672917,-0.2453158142643036
LUNCH_PRICE,0.13499831627195,-0.20790707503190065
HOLIDAY,0.19005407334206886,-0.2857757509274459
HOME_PAGE_URL,-0.3480141143293466,0.3677043838536096
PHONE_NUM,-0.349300743609218,-0.16139276741791386
NUM_SEATS,0.052986943982378854,-0.3315860225158158
AGE_RESTAURANT,0.18164228515609163,-0.05091051912873131
CITY_count,0.034434929330011896,0.0035638758373155383
rate_count,0.027227887025249007,0.06529032042672946
seats_rate_count,0.04829027471572462,0.03771408176900377
