,20~75
AVG_MONTHLY_POPULATION,0.5043592011029316
NEAREST_STATION_INFO_count,0.004525972237839042
DISTANCE_VALUE,-0.41815524067585735
RATING_CNT,0.23875100543694633
RATING_SCORE,-0.10121402116905738
IS_FAMILY_FRIENDLY,-0.027735434404427686
IS_FRIEND_FRIENDLY,0.02005316624072925
IS_ALONE_FRIENDLY,0.2988060000220744
DINNER_INFO,-0.2552148251187796
LUNCH_INFO,0.17027199067372692
DINNER_PRICE,0.002110965110995042
LUNCH_PRICE,0.03101772555674494
HOLIDAY,0.1390111087724361
HOME_PAGE_URL,0.2664486770485122
PHONE_NUM,
NUM_SEATS,0.2037754333170052
AGE_RESTAURANT,-0.1765934648661294
CITY_count,-0.03196938917051278
rate_count,0.21552390664228457
seats_rate_count,0.3196978803023428
