,20~75,75~150
AVG_MONTHLY_POPULATION,0.1091918128252385,0.1356965234064661
NEAREST_STATION_INFO_count,0.156208215163695,0.5910370056693169
DISTANCE_VALUE,-0.11961317377537779,0.5148160364554939
RATING_CNT,0.19888493646629696,0.11546230376541235
RATING_SCORE,0.1645339250372244,0.1405595724334463
IS_FAMILY_FRIENDLY,0.018797135108625775,0.3761419880924754
IS_FRIEND_FRIENDLY,0.32830010930136033,-0.05478145625073916
IS_ALONE_FRIENDLY,-0.153109637203297,
DINNER_INFO,0.011566434943730976,-0.23723993378324099
LUNCH_INFO,-0.28623199846506875,-0.1745647373309477
DINNER_PRICE,0.05549962110415825,-0.15254671328548008
LUNCH_PRICE,0.24245758328438832,0.11350234889049003
HOLIDAY,-0.04619351714765691,
HOME_PAGE_URL,-0.2485127626301629,-0.08106070067828286
PHONE_NUM,-0.03107978256905164,
NUM_SEATS,0.19226501019486775,0.46966676042297467
AGE_RESTAURANT,0.03238715330360975,-0.14126087288758546
CITY_count,0.12419188211117246,-0.18559768594500617
rate_count,0.24550447099585065,0.12480829235022937
seats_rate_count,0.27457396719006866,0.20994248401988952
