,20~75,75~150,300~
AVG_MONTHLY_POPULATION,0.04195132034508603,0.07955222706069959,0.19598309086887133
NEAREST_STATION_INFO_count,0.18648050636394412,-0.16855891896400665,-0.17384386002645347
DISTANCE_VALUE,0.19594371336856523,0.158991297080647,-0.05612254697007639
RATING_CNT,0.08517609856213805,-0.03378665380484458,0.4946832096406822
RATING_SCORE,-0.25659809152417673,-0.23209739604663068,0.49354404248204486
IS_FAMILY_FRIENDLY,0.2350313779341684,0.013850448214474256,-0.09996567730079295
IS_FRIEND_FRIENDLY,-0.052536504286168656,-0.10793065728475734,0.14108651812216058
IS_ALONE_FRIENDLY,0.08012501937211067,-0.2395207681628661,0.28751765216530345
DINNER_INFO,0.010266760986907786,,
LUNCH_INFO,-0.09333209065728498,0.11061348193237837,0.3754099096301431
DINNER_PRICE,-0.138853611729833,0.24391941948119428,0.594070862176335
LUNCH_PRICE,-0.07617437657222423,-0.04253775158406363,-0.06387339624981113
HOLIDAY,-0.07778659439992015,-0.3181478619643325,
HOME_PAGE_URL,0.30842808006231764,-0.22946115610405704,-0.0010358402332088432
PHONE_NUM,0.23771500438917628,0.15395606684633942,
NUM_SEATS,0.34231041200175727,0.020202824958231266,0.19200743853924515
AGE_RESTAURANT,0.14145829422950637,-0.38099956548596764,0.1692662371238464
CITY_count,-0.04326912750884799,-0.27820272192094175,0.1829313357259734
rate_count,0.03889954711139781,-0.04106205499851201,0.49390965817185184
seats_rate_count,0.20930171345229429,-0.06426553297444863,0.543285332256153
