,20~75,75~150,150~300
AVG_MONTHLY_POPULATION,-0.014775495171078014,0.08682381724866463,0.3729442214775315
NEAREST_STATION_INFO_count,-0.23480414262588573,-0.102513183775597,-0.30863751531471684
DISTANCE_VALUE,0.025512046424969344,-0.016509744394595596,-0.4519263017470853
RATING_CNT,0.09614376358815135,0.16840874618578044,-0.05276308403190958
RATING_SCORE,0.21343775633602932,-0.07610058747900464,0.3434651148830555
IS_FAMILY_FRIENDLY,0.17914856115423627,0.00845754837874604,-0.6133473442119198
IS_FRIEND_FRIENDLY,-0.15359753757136096,-0.029569283599001593,-0.12811734137659625
IS_ALONE_FRIENDLY,-0.2757861083210966,7.618145164619563e-05,
DINNER_INFO,0.24688828566026574,0.1362165091900293,-0.42669904179890544
LUNCH_INFO,0.01834315082007339,0.15628852895697265,0.27634842205851995
DINNER_PRICE,0.2831780179965576,0.05349364307109482,0.1612560081990814
LUNCH_PRICE,-0.08406734675193418,0.010262648962890643,0.169881070831019
HOLIDAY,0.060447016972794004,-0.22872018779832431,-0.37512178565018234
HOME_PAGE_URL,-0.1700123043634399,-0.18124356540020417,0.3110424112857612
PHONE_NUM,-0.062490987339322596,-0.02989224702055715,-0.31047287452583927
NUM_SEATS,-0.039245098265252375,0.04715173333387017,-0.43609425644561955
AGE_RESTAURANT,-0.020670868314300997,-0.08137180888390991,-0.30084032142323414
CITY_count,0.1528987970785039,0.0779803524001317,0.38774505753707816
rate_count,0.09889614071539812,0.23974265011549248,0.047443123419554506
seats_rate_count,0.04315209210734906,0.23912170291932097,-0.09154992132560599
