,20~75
AVG_MONTHLY_POPULATION,0.09486345092557001
NEAREST_STATION_INFO_count,-0.0006042370466874077
DISTANCE_VALUE,-0.09820287322066538
RATING_CNT,0.22769471486326937
RATING_SCORE,0.20688533372134288
IS_FAMILY_FRIENDLY,-0.08395383937494749
IS_FRIEND_FRIENDLY,0.34057245925396495
IS_ALONE_FRIENDLY,-0.2350705438363474
DINNER_INFO,-0.09012980322174695
LUNCH_INFO,0.311454919082982
DINNER_PRICE,0.2424109521348443
LUNCH_PRICE,0.09204238929920408
HOLIDAY,-0.0021540715361241932
HOME_PAGE_URL,0.11975143526811989
PHONE_NUM,-0.04868933004370683
NUM_SEATS,0.5199998097192797
AGE_RESTAURANT,0.11230926907882692
CITY_count,0.19942638292111414
rate_count,0.19278428786699842
seats_rate_count,0.4591433549687846
