,20~75
AVG_MONTHLY_POPULATION,0.12806637335594345
NEAREST_STATION_INFO_count,0.3080798948433033
DISTANCE_VALUE,-0.14678131129915922
RATING_CNT,0.1826775214910745
RATING_SCORE,0.23237949848753342
IS_FAMILY_FRIENDLY,-0.04242053002679462
IS_FRIEND_FRIENDLY,-0.28092390263809264
IS_ALONE_FRIENDLY,0.022716641641129475
DINNER_INFO,-0.3794180042389465
LUNCH_INFO,-0.35953223409702184
DINNER_PRICE,0.26008840782270704
LUNCH_PRICE,0.141853997849157
HOLIDAY,
HOME_PAGE_URL,0.08683240065395657
PHONE_NUM,-0.3610989162005347
NUM_SEATS,0.12869278667512227
AGE_RESTAURANT,-0.16092565004210044
CITY_count,0.04652274529461777
rate_count,0.18928311772360282
seats_rate_count,0.24755992213660152
