,20~75,75~150
AVG_MONTHLY_POPULATION,0.07834972726572242,-0.042631052849726674
NEAREST_STATION_INFO_count,0.24816237598615976,0.13906160895694905
DISTANCE_VALUE,0.042807358766585486,0.19189877277429168
RATING_CNT,0.15271415123804644,0.14226818231810756
RATING_SCORE,0.28149133046139296,0.05921387891466359
IS_FAMILY_FRIENDLY,0.10094119839257837,-0.5525737094158106
IS_FRIEND_FRIENDLY,-0.014637090254183574,0.3423465981800875
IS_ALONE_FRIENDLY,0.14522104699140156,0.014203428152324097
DINNER_INFO,0.22243017365194948,-0.3004377141421391
LUNCH_INFO,0.18273636425563966,-0.48837720150082314
DINNER_PRICE,0.26478184064436183,-0.27220528709322234
LUNCH_PRICE,0.38742779114953513,-0.5307070545453345
HOLIDAY,-0.08947932717035752,
HOME_PAGE_URL,0.1890227618474821,-0.41538779607478515
PHONE_NUM,-0.06998273555961258,
NUM_SEATS,0.19268243023453657,0.04186483477049294
AGE_RESTAURANT,-0.09351483631092973,0.3530082180821636
CITY_count,0.20410818196571257,-0.41460232621257476
rate_count,0.09201815508718145,0.20159587350077046
seats_rate_count,0.356320275191976,0.2284792245633005
