,20~75
AVG_MONTHLY_POPULATION,0.30564537530314745
NEAREST_STATION_INFO_count,0.085829717676061
DISTANCE_VALUE,-0.1422500482645751
RATING_CNT,0.3364541192719411
RATING_SCORE,0.2815041487803594
IS_FAMILY_FRIENDLY,-0.18391971333169901
IS_FRIEND_FRIENDLY,-0.168720916263497
IS_ALONE_FRIENDLY,0.17027277045535721
DINNER_INFO,-0.2965799700870489
LUNCH_INFO,0.09232052377960898
DINNER_PRICE,-0.13092522181056646
LUNCH_PRICE,0.017775936432920178
HOLIDAY,0.08789321510653107
HOME_PAGE_URL,0.12478481549667782
PHONE_NUM,0.24117534345773484
NUM_SEATS,0.2264306308009925
AGE_RESTAURANT,-0.14680785415409017
CITY_count,0.16631391889660388
rate_count,0.2701563641373741
seats_rate_count,0.3424036883681804
