,20~75,75~150,150~300,300~
AGE_RESTAURANT,0.11795415231808852,0.0,0.2385034630716554,0.0
CITY_count,0.0,0.23377234125910729,0.0,0.3010135791624977
DISTANCE_VALUE,0.0,0.0,0.33484864669199377,0.4111280054204143
HOLIDAY,0.08860658720840504,0.0,0.0,0.0
IS_ALONE_FRIENDLY,0.0,0.0,0.3314350380273694,0.3149427374678048
IS_FRIEND_FRIENDLY,0.14302275738717668,0.3279637897198221,0.0,0.0
LUNCH_INFO,0.08229757185004682,0.0,0.5134703351496204,0.4284809088222755
LUNCH_PRICE,0.0,0.16715124348008142,0.0,0.0
NEAREST_STATION_INFO_count,0.0,0.0,0.0,0.5145224207965404
NUM_SEATS,0.07932280803673453,0.0,0.0,0.0
PHONE_NUM,0.0,0.13611588638065106,0.4282051331096789,0.0
RATING_SCORE,0.0,0.14127699446030365,0.0,0.0
