,20~75,75~150,150~300
AVG_MONTHLY_POPULATION,0.09574240883319228,0.2623555425246997,0.31715713472338375
NEAREST_STATION_INFO_count,0.1071337949739061,0.19924064699880994,0.5081670292990237
DISTANCE_VALUE,0.28398682418477783,0.0031324991885466466,-0.1849033767552648
RATING_CNT,-0.06935416052797488,-0.3008413289693219,0.25759891957335657
RATING_SCORE,-0.15341733165735286,-0.41416009587528,0.26121162927909175
IS_FAMILY_FRIENDLY,-0.021235974330172505,-0.014696213939318284,-0.016139240204677927
IS_FRIEND_FRIENDLY,0.09864525808567917,0.10989478001947554,0.07703218587512972
IS_ALONE_FRIENDLY,-0.16245107211330295,-0.4530358320408171,-0.020264856619958083
DINNER_INFO,0.08822537422977428,-0.10558574591731715,0.07138234578383013
LUNCH_INFO,-0.06813198481823447,0.12258397946190706,-0.2521851485681685
DINNER_PRICE,0.17926128805652386,-0.25334250112079054,0.2180081098233393
LUNCH_PRICE,-0.0005526228660642752,-0.2163111872435499,0.20260475720275095
HOLIDAY,-0.16267217618617405,-0.38311185579647083,0.30255214929683394
HOME_PAGE_URL,0.1270731860772132,0.20304862374270527,0.05466286550930659
PHONE_NUM,0.13855284898904305,-0.029370636113200437,-0.4051228420401657
NUM_SEATS,0.1029681607668718,0.4759190338711024,-0.30616613803338044
AGE_RESTAURANT,0.04981247838106778,-0.0052287609995353285,0.030028182625457214
CITY_count,0.011180386501371153,-0.0607233682703773,0.3046857028597587
rate_count,-0.08041797061381403,-0.3574358051694874,0.24755275020382772
seats_rate_count,0.016715347751001284,0.09653067317000091,0.29670594859320915
