,20~75
AVG_MONTHLY_POPULATION,0.3405665884022378
NEAREST_STATION_INFO_count,0.19081776144165316
DISTANCE_VALUE,-0.2943238012442096
RATING_CNT,0.5180912362943498
RATING_SCORE,0.28691214905681894
IS_FAMILY_FRIENDLY,0.09292068865305686
IS_FRIEND_FRIENDLY,0.05429742731968656
IS_ALONE_FRIENDLY,0.1742014903289336
DINNER_INFO,0.15685682266389625
LUNCH_INFO,-0.2691118213241676
DINNER_PRICE,0.20463854760782943
LUNCH_PRICE,-0.02641700057358803
HOLIDAY,-0.09399182115942982
HOME_PAGE_URL,-0.05059382691785634
PHONE_NUM,0.05610529053828927
NUM_SEATS,0.05536516101743689
AGE_RESTAURANT,-0.3066593010019577
CITY_count,0.08524094077387216
rate_count,0.5442198903974274
seats_rate_count,0.38714821016403406
