,データ数,平均,標準偏差,min,10%タイル,25%タイル,中央値,75%タイル,90%タイル,max
1000~,227.0,2390.029001468426,3140.9083282581187,1000.75,1080.999999999998,1224.874999999995,1666.0,2387.375,3577.9833333333286,34774.3333333333
150~300,1218.0,210.46312260536374,42.85262521047347,150.083333333333,158.2833333333329,171.52083333333326,204.958333333333,245.854166666666,274.6916666666662,299.333333333333
20~50,4050.0,32.148209876543184,8.568628681618264,20.0,21.5833333333333,24.5,31.0,39.0,45.0,49.9166666666666
300~600,638.0,418.38884535005195,84.07618885593445,300.0,314.925,346.1874999999995,404.7916666666665,482.6249999999997,547.0499999999998,599.583333333333
50~150,3453.0,86.14750458538457,27.922615479689814,50.0,54.25,62.0,79.75,107.583333333333,129.833333333333,149.916666666666
600~1000,278.0,767.0785371702635,111.88923446510903,600.0,624.5749999999998,669.25,756.0,852.9999999999998,927.7333333333331,996.0
<20,13671.0,5.670214322288047,5.431235880072028,-8.0,0.333333333333333,1.0,4.0,9.16666666666666,14.5833333333333,19.9166666666666
