,20~75,75~150,150~300
AVG_MONTHLY_POPULATION,-0.08164979961430213,0.33455848827357537,0.23116480416897486
NEAREST_STATION_INFO_count,0.10095840800559264,0.14824141921597553,0.14038303618589296
DISTANCE_VALUE,-0.05999434541474726,-0.17344722358181058,-0.1784111570745548
RATING_CNT,-0.05836574045222299,-0.13539300550815084,-0.042989367945657914
RATING_SCORE,-0.012913921616939491,-0.1755138825825616,-0.02216876526501097
IS_FAMILY_FRIENDLY,-0.0749820842154348,-0.08520616845235014,0.3493441862915692
IS_FRIEND_FRIENDLY,0.09330447158983805,0.25973104208630093,-0.17530896572713325
IS_ALONE_FRIENDLY,0.10061061588500668,-0.17074695412489035,0.07343570195806036
DINNER_INFO,-0.03369186027118409,,
LUNCH_INFO,-0.04974180377246023,-0.0331272383771784,-0.21771038866605785
DINNER_PRICE,-0.013428788831740401,0.26802475225520533,-0.1046440538808943
LUNCH_PRICE,0.24762263800772935,0.07846767791052904,-0.04522863433834605
HOLIDAY,0.008170781222562313,-0.23139322216961472,
HOME_PAGE_URL,-0.12915466138910142,0.11313247483399988,0.45216997055349367
PHONE_NUM,-0.14627599161896093,0.11823148901801693,
NUM_SEATS,-0.12740243173167518,0.31942973404015684,0.1955529232271443
AGE_RESTAURANT,-0.014728317459087497,0.0981788208875118,-0.15876648179887504
CITY_count,-0.09279944937481678,0.1769708512822562,-0.25974744261113625
rate_count,-0.07665631349966602,-0.16482792468880436,-0.08228740885526017
seats_rate_count,-0.09632268601990748,-0.11287812150505376,-0.05505349493649085
