,20~75,75~150,150~300,300~
AVG_MONTHLY_POPULATION,0.06952951518539123,0.10384152865751302,0.05937991619744495,0.07427094985203521
NEAREST_STATION_INFO_count,0.029486843018398348,-0.21007733948855495,0.01514649097916137,-0.10526911842341044
DISTANCE_VALUE,-0.16432928049911458,-0.0902791333825098,-0.3097049965585382,0.07356523685120478
RATING_CNT,-0.028492343444271352,0.04962296194467448,-0.13638020215886595,0.26877633831513065
RATING_SCORE,-0.029921626945622757,0.05762357971281573,-0.09088423626021169,-0.09928171471167277
IS_FAMILY_FRIENDLY,0.07092150796754602,0.15880640261916615,-0.024185865363284514,-0.13922995287286088
IS_FRIEND_FRIENDLY,0.03752624491480289,-0.04490368984468233,-0.03048132192962977,0.23816905631084895
IS_ALONE_FRIENDLY,-0.1527887377021211,0.053581271355500115,0.16930227989508875,0.1627262242303912
DINNER_INFO,0.018321182514075836,-0.01435199154775847,-0.047008369663402716,
LUNCH_INFO,0.10528247462158953,0.1799567022703144,0.09402422538484145,-0.006195745516856375
DINNER_PRICE,-0.09187089886768592,-0.09413186909205133,-0.09793666133655116,-0.22938735000299126
LUNCH_PRICE,-0.017691903258216693,-0.10399938279161765,-0.31460505577085385,-0.37365686398505643
HOLIDAY,-0.09620508451499889,-0.03595861261928381,-0.1059355895799517,
HOME_PAGE_URL,0.2035093970004857,0.05882439352905944,0.23256201586124572,0.1128818058644678
PHONE_NUM,0.002801750106179054,0.16123525374565517,0.055936865329465776,0.11091956474371877
NUM_SEATS,0.13001610606668348,-0.14184502828042347,0.06740490931478822,-0.03545812800052291
AGE_RESTAURANT,-0.018776232152872697,-0.021355438449714235,-0.059077818141340624,0.13337934279056685
CITY_count,0.023650654128748425,0.16979345010000083,-0.014524537977664245,0.048746695277007784
rate_count,-0.0206828460996626,-0.03666291903922249,-0.15571431722261816,0.2524805302009702
seats_rate_count,0.02661235125209351,0.05108200029427642,-0.15974609215221514,0.25549770077394063
