,20~75,75~150
AVG_MONTHLY_POPULATION,0.0826900231013018,0.10265690762012683
NEAREST_STATION_INFO_count,0.07937097345111822,-0.49249021108610136
DISTANCE_VALUE,-0.0625689278534164,-0.10440389443130085
RATING_CNT,0.15097256930325773,-0.0825580792477581
RATING_SCORE,-0.13860122192513116,0.24658193084853625
IS_FAMILY_FRIENDLY,0.20244382004744177,0.1072549543206176
IS_FRIEND_FRIENDLY,-0.08383930327090465,-0.2760978957434258
IS_ALONE_FRIENDLY,-0.09171099158334572,-0.184886860388111
DINNER_INFO,0.05157457539152363,0.25310214086008176
LUNCH_INFO,0.044918775945777666,0.3955260958258693
DINNER_PRICE,0.13834059112716807,0.29619511960505124
LUNCH_PRICE,0.024897313885071378,0.02636881005694227
HOLIDAY,-0.16832592269034816,-0.03036707701800924
HOME_PAGE_URL,0.26554928394638916,0.14096987937335376
PHONE_NUM,-0.05637214092112649,
NUM_SEATS,0.22134764798813758,-0.022359656544953237
AGE_RESTAURANT,0.0003774474085456726,-0.539584439019623
CITY_count,-0.028415506326885685,0.18835302143563476
rate_count,0.1412679188503788,-0.07078855073660198
seats_rate_count,0.24025755611529875,-0.08097830086112995
