,20~75,75~150,300~
AVG_MONTHLY_POPULATION,-0.12496200347406025,-0.2043072796606978,0.028699658838035942
NEAREST_STATION_INFO_count,0.21531789182264108,-0.07511844508600192,-0.1353066017361288
DISTANCE_VALUE,0.13575401428214975,0.05902839828524605,0.23676780968767633
RATING_CNT,0.37677964188750857,-0.28546774749518533,-0.4293433566408711
RATING_SCORE,0.40347551937527004,-0.019083286084111986,-0.5277299581591921
IS_FAMILY_FRIENDLY,0.053672747067849295,0.017970700347941,-0.494792449021481
IS_FRIEND_FRIENDLY,-0.04374848036055896,-0.07471847818497293,0.3979925446014432
IS_ALONE_FRIENDLY,0.06831681993394303,0.02810056599990669,-0.3546189741932988
DINNER_INFO,0.09392262701979379,0.3765483823269085,-0.494792449021481
LUNCH_INFO,0.008117174710878554,0.3765483823269085,-0.494792449021481
DINNER_PRICE,0.37927832969692554,0.06249202464694835,-0.3618307990787807
LUNCH_PRICE,0.04783497037978146,0.13956337595637813,0.10224738888237521
HOLIDAY,-0.2678873667370568,-0.37654838232690846,
HOME_PAGE_URL,0.02388560493244283,-0.03626814070219891,0.3979925446014432
PHONE_NUM,0.4243843954970156,-0.031040300600985626,0.33981570784239695
NUM_SEATS,0.17700122370447852,-0.12446933601011788,0.3460656719017307
AGE_RESTAURANT,0.34285518043538943,-0.14152183879306368,-0.0665373336426708
CITY_count,0.34787076738745326,-0.5356737522429795,-0.19709787396366457
rate_count,0.37537424474441694,-0.2717118679104222,-0.43387848873179147
seats_rate_count,0.49331314925317526,-0.17631318217270128,-0.4295047769176249
