料理カテゴリ,店舗数,割合(%)
居酒屋,211,17.3
焼肉,175,14.4
ラーメン,83,6.8
焼き鳥,49,4.0
イタリアン,40,3.3
寿司,40,3.3
中華料理,39,3.2
カフェ,32,2.6
餃子,26,2.1
ダイニングバー,24,2.0
