,居酒屋_クラスタ0,居酒屋_クラスタ1,居酒屋_クラスタ2,居酒屋_クラスタ3,居酒屋_クラスタ4,焼肉_クラスタ0,焼肉_クラスタ1,焼肉_クラスタ2,焼肉_クラスタ3,焼肉_クラスタ4,ラーメン_クラスタ0,ラーメン_クラスタ1,ラーメン_クラスタ2,ラーメン_クラスタ3,ラーメン_クラスタ4,バー_クラスタ0,バー_クラスタ1,バー_クラスタ2,バー_クラスタ3,バー_クラスタ4,中華料理_クラスタ0,中華料理_クラスタ1,中華料理_クラスタ2,中華料理_クラスタ3,中華料理_クラスタ4,イタリアン_クラスタ0,イタリアン_クラスタ1,イタリアン_クラスタ2,イタリアン_クラスタ3,イタリアン_クラスタ4,焼き鳥_クラスタ0,焼き鳥_クラスタ1,焼き鳥_クラスタ2,焼き鳥_クラスタ3,焼き鳥_クラスタ4,カフェ_クラスタ0,カフェ_クラスタ1,カフェ_クラスタ2,カフェ_クラスタ3,カフェ_クラスタ4,寿司_クラスタ0,寿司_クラスタ1,寿司_クラスタ2,寿司_クラスタ3,寿司_クラスタ4,ダイニングバー_クラスタ0,ダイニングバー_クラスタ1,ダイニングバー_クラスタ2,ダイニングバー_クラスタ3,ダイニングバー_クラスタ4,餃子_クラスタ0,餃子_クラスタ1,餃子_クラスタ2,餃子_クラスタ3,餃子_クラスタ4,その他_クラスタ0,その他_クラスタ1,その他_クラスタ2,その他_クラスタ3,その他_クラスタ4,お好み焼き_クラスタ0,お好み焼き_クラスタ1,お好み焼き_クラスタ2,お好み焼き_クラスタ3,お好み焼き_クラスタ4,そば_クラスタ0,そば_クラスタ1,そば_クラスタ2,そば_クラスタ3,そば_クラスタ4,海鮮_クラスタ0,海鮮_クラスタ1,海鮮_クラスタ2,海鮮_クラスタ3,海鮮_クラスタ4,韓国料理_クラスタ0,韓国料理_クラスタ1,韓国料理_クラスタ2,韓国料理_クラスタ3,韓国料理_クラスタ4,とんかつ_クラスタ0,とんかつ_クラスタ1,とんかつ_クラスタ2,とんかつ_クラスタ3,とんかつ_クラスタ4,ステーキ_クラスタ0,ステーキ_クラスタ1,ステーキ_クラスタ2,ステーキ_クラスタ3,ステーキ_クラスタ4,タイ料理_クラスタ0,タイ料理_クラスタ1,タイ料理_クラスタ2,タイ料理_クラスタ3,タイ料理_クラスタ4,日本料理_クラスタ0,日本料理_クラスタ1,日本料理_クラスタ2,日本料理_クラスタ3,日本料理_クラスタ4,もつ焼き_クラスタ0,もつ焼き_クラスタ1,もつ焼き_クラスタ2,もつ焼き_クラスタ3,もつ焼き_クラスタ4,ホルモン_クラスタ0,ホルモン_クラスタ1,ホルモン_クラスタ2,ホルモン_クラスタ3,ホルモン_クラスタ4,串揚げ_クラスタ0,串揚げ_クラスタ1,串揚げ_クラスタ2,串揚げ_クラスタ3,串揚げ_クラスタ4,ピザ_クラスタ0,ピザ_クラスタ1,ピザ_クラスタ2,ピザ_クラスタ3,ピザ_クラスタ4,もんじゃ焼き_クラスタ0,もんじゃ焼き_クラスタ1,もんじゃ焼き_クラスタ2,もんじゃ焼き_クラスタ3,もんじゃ焼き_クラスタ4,バル_クラスタ0,バル_クラスタ1,バル_クラスタ2,バル_クラスタ3,バル_クラスタ4,焼鳥_クラスタ0,焼鳥_クラスタ1,焼鳥_クラスタ2,焼鳥_クラスタ3,焼鳥_クラスタ4,ビストロ_クラスタ0,ビストロ_クラスタ1,ビストロ_クラスタ2,ビストロ_クラスタ3,ビストロ_クラスタ4,鉄板焼き_クラスタ0,鉄板焼き_クラスタ1,鉄板焼き_クラスタ2,鉄板焼き_クラスタ3,鉄板焼き_クラスタ4,洋食_クラスタ0,洋食_クラスタ1,洋食_クラスタ2,洋食_クラスタ3,洋食_クラスタ4,食堂_クラスタ0,食堂_クラスタ1,食堂_クラスタ2,食堂_クラスタ3,食堂_クラスタ4,うなぎ_クラスタ0,うなぎ_クラスタ1,うなぎ_クラスタ2,うなぎ_クラスタ3,うなぎ_クラスタ4,牛タン_クラスタ0,牛タン_クラスタ1,牛タン_クラスタ2,牛タン_クラスタ3,牛タン_クラスタ4,天ぷら_クラスタ0,天ぷら_クラスタ1,天ぷら_クラスタ2,天ぷら_クラスタ3,天ぷら_クラスタ4,ハンバーガー_クラスタ0,ハンバーガー_クラスタ1,ハンバーガー_クラスタ2,ハンバーガー_クラスタ3,ハンバーガー_クラスタ4
データ数,932.0,78.0,63.0,318.0,257.0,448.0,29.0,167.0,178.0,42.0,82.0,312.0,36.0,111.0,12.0,130.0,233.0,3.0,21.0,56.0,238.0,26.0,37.0,2.0,92.0,223.0,56.0,11.0,6.0,74.0,78.0,19.0,27.0,205.0,6.0,177.0,2.0,67.0,35.0,23.0,164.0,70.0,15.0,4.0,35.0,11.0,115.0,4.0,29.0,48.0,73.0,1.0,57.0,16.0,1.0,36.0,80.0,10.0,9.0,2.0,35.0,17.0,73.0,7.0,3.0,21.0,65.0,10.0,33.0,1.0,26.0,58.0,21.0,9.0,9.0,38.0,24.0,17.0,12.0,22.0,23.0,18.0,13.0,8.0,46.0,7.0,77.0,16.0,1.0,6.0,19.0,61.0,2.0,1.0,21.0,8.0,25.0,10.0,14.0,45.0,3.0,20.0,50.0,14.0,6.0,8.0,30.0,1.0,20.0,28.0,15.0,25.0,12.0,23.0,2.0,17.0,4.0,5.0,41.0,6.0,15.0,37.0,2.0,8.0,11.0,4.0,37.0,15.0,1.0,12.0,27.0,9.0,5.0,11.0,15.0,10.0,9.0,38.0,4.0,3.0,22.0,2.0,5.0,5.0,29.0,20.0,12.0,16.0,1.0,13.0,3.0,20.0,9.0,1.0,27.0,15.0,3.0,18.0,10.0,11.0,21.0,11.0,1.0,7.0,16.0,15.0,11.0,1.0,15.0,10.0,8.0,4.0,23.0,14.0,1.0
平均,90.1035407725321,127.2692307692306,156.68386243386226,131.2565513626833,109.9961089494162,123.33742559523795,202.52873563218375,158.57285429141697,139.6825842696628,168.98412698412685,107.91056910569097,86.06623931623922,220.773148148148,123.72597597597583,145.10416666666643,68.26602564102558,73.66773962803997,341.5,100.65079365079357,58.84077380952374,80.8967086834733,74.57371794871791,120.22072072072064,70.5,104.24456521739118,68.65582959641249,128.05208333333317,96.62878787878778,101.6944444444443,101.3378378378377,137.25961538461522,154.53070175438575,98.37962962962953,92.4524390243901,121.98611111111099,91.96657250470803,187.583333333333,80.14552238805958,81.19285714285702,88.9456521739129,80.29166666666657,134.8035714285713,170.0222222222221,130.97916666666634,117.9999999999999,134.7803030303029,68.34710144927527,92.0416666666665,121.758620689655,91.52951388888876,91.24771689497706,296.333333333333,91.22368421052622,94.67708333333316,27.0,126.59953703703695,102.1322916666666,107.3249999999999,194.29629629629622,188.583333333333,118.42857142857133,159.2352941176468,91.94406392694049,159.4285714285711,162.99999999999986,63.16666666666657,68.63205128205121,74.5416666666666,65.48737373737364,246.416666666666,149.24038461538447,68.41235632183903,99.96825396825382,104.00925925925915,223.5925925925925,66.3749999999999,87.23611111111101,89.5833333333332,111.17361111111109,120.28787878787865,100.55797101449274,101.63425925925917,150.71794871794867,134.92708333333326,92.4039855072463,173.76190476190465,116.36363636363629,87.9010416666666,147.0,131.7361111111111,80.58771929824552,63.8046448087431,38.91666666666665,79.6666666666666,83.59920634920624,69.6249999999999,69.53333333333323,93.04999999999988,51.3809523809523,50.52407407407398,57.99999999999977,128.39999999999984,96.52166666666653,121.69642857142841,110.36111111111097,99.43749999999991,125.29444444444438,35.0,116.63749999999989,85.32738095238086,112.23888888888877,63.28666666666664,148.92361111111092,76.26449275362307,70.3333333333333,152.04901960784295,179.99999999999997,86.68333333333332,89.03252032520312,113.04166666666653,149.622222222222,136.5405405405404,517.333333333333,207.58333333333297,228.7651515151513,304.8541666666665,72.73198198198183,155.8277777777777,71.3333333333333,119.79861111111099,73.93209876543204,203.77777777777752,239.13333333333327,98.9772727272726,111.28333333333318,50.249999999999964,73.39814814814801,53.33771929824553,195.1041666666664,62.611111111111,87.55681818181804,225.375,43.0833333333333,79.54999999999987,72.90804597701138,57.79166666666656,182.75694444444414,152.00520833333312,373.166666666666,123.16025641025622,188.47222222222203,87.43749999999993,124.64814814814814,24.5,71.69753086419749,84.68333333333325,75.77777777777777,77.30555555555543,138.9499999999998,170.27272727272705,122.7341269841268,198.24999999999983,90.0,139.23809523809518,147.84374999999977,91.93333333333314,91.77272727272717,27.0,102.98333333333329,100.26666666666658,212.42708333333326,142.41666666666666,100.98550724637671,134.83928571428555,340.333333333333
標準偏差,104.77524547652608,127.77337492474832,136.62862058834236,127.8563833155221,119.15706244073583,118.87132517208443,138.17333381126352,130.16583304129918,110.06055577688387,132.16691687159795,81.1583954224448,80.39070296418036,181.42764596029696,112.57070527129238,65.96918400765884,82.64861858090948,85.23209680461693,186.1712920941357,119.29028442279764,64.83641084225336,79.56477872021695,56.66454568051773,142.97605560160073,33.23401871576773,109.73295354386325,77.73897678712243,120.27098670525456,86.82979330305054,117.39823804596149,86.57358442253805,131.7367511572903,159.24857600223427,95.04642459154012,97.17504263000853,84.70780523965004,101.78163839538122,155.68134299123776,91.39885159147126,84.24837271616651,75.3956466968962,87.60857490993956,146.2924016982032,176.7232851397404,97.66255146335936,129.05871042008016,143.70721234088373,73.66349448929637,69.193017069001,119.33775460856317,81.97220938573619,73.11147650169725,,98.2594508534295,67.32146399098036,,129.62311182357544,114.79099187986552,93.43256505610321,112.42008049479773,122.44732427547001,131.48414866137412,180.96288378674492,84.02505970672111,124.33063771068234,109.81995998501858,56.387547876774526,106.4272784657639,51.925936245177795,68.9330899201737,,151.39432935021594,69.66071252154407,134.82161691006138,61.293542409044726,176.5922083877756,61.94830000188144,73.96754603435605,52.948809135700856,138.34370834739744,113.38379982612618,77.76035785849976,78.51992867061598,150.40072452629406,51.767689973557985,101.96842129087243,180.55478693365077,114.9541256622758,66.42134877369367,,145.1444818167465,85.60728718154473,56.231933076416766,2.5927248643506977,,69.53327849873796,68.40304226038609,51.15071684085493,72.83306000457218,27.678841819940335,54.62586713773913,42.93049938886975,127.5042786806439,94.40344503074793,129.05223056096105,67.59907680719597,76.36671070543909,124.23739544855891,,127.77120930072456,82.99496405148395,109.85390671298761,37.77614436828266,148.57018228282615,59.908340405237205,13.552879972742113,98.01817016760984,178.80662791178963,92.09029762503033,94.25065737696013,141.7078641078184,128.71831505123748,133.30810181058632,34.53038114794354,166.35222719297585,148.63118419141168,261.30405142604803,69.1624528366538,156.48485672293626,,129.43857235402092,80.8437114572178,102.81085147276787,218.97585641902262,82.4846710582999,81.54848591822866,27.7677759771295,37.954440382557074,49.53219577892573,116.62716345101441,43.0834407907534,90.07650843551605,203.82352967702232,20.619485794860264,35.32220736779232,95.16088180031579,53.603813171729584,171.3231833537458,117.12672572249332,,96.90353798018366,152.48538940331753,75.58694248041783,173.26584111569963,,78.1847750748056,84.40077178425425,71.48763166787303,99.30950332662205,151.01435423556634,158.17796364164673,135.36627939247205,155.3204170237914,,183.4471390998381,131.30946227998655,75.61507838629174,97.26189652248979,,128.50117039798033,124.82915979771093,140.2144646823243,122.40109385858356,87.34814619698105,105.64558586269013,
min,20.1666666666666,20.6666666666666,20.3333333333333,20.0833333333333,20.0833333333333,20.1666666666666,22.5,21.6666666666666,20.25,22.4166666666666,20.5833333333333,20.4166666666666,31.75,22.1666666666666,66.9166666666666,20.1666666666666,20.3333333333333,128.0,20.5,20.1666666666666,20.0833333333333,21.0,24.0,47.0,23.8333333333333,20.1666666666666,20.9166666666666,27.5,27.0,21.5,20.3333333333333,22.5833333333333,22.0,20.0833333333333,21.8333333333333,20.1666666666666,77.5,20.1666666666666,20.5,22.0,20.0833333333333,21.0,22.5,32.0833333333333,20.3333333333333,20.3333333333333,20.0833333333333,52.5,21.5833333333333,20.5,20.0833333333333,296.333333333333,20.0833333333333,20.4166666666666,27.0,24.4166666666666,20.1666666666666,23.9166666666666,24.0,102.0,28.0833333333333,21.0,20.25,35.0,43.4166666666666,22.0,20.0833333333333,20.5,22.0,246.416666666666,27.0833333333333,20.3333333333333,20.25,25.5,22.3333333333333,21.0,22.9166666666666,23.25,32.5,23.6666666666666,23.0,23.6666666666666,23.8333333333333,52.25,20.3333333333333,28.0833333333333,20.1666666666666,26.25,147.0,26.8333333333333,20.5833333333333,20.0833333333333,37.0833333333333,79.6666666666666,20.1666666666666,24.0,20.6666666666666,30.0,21.3333333333333,21.1666666666666,25.5,22.4166666666666,21.4166666666666,20.4166666666666,41.9166666666666,25.5833333333333,28.6666666666666,35.0,21.3333333333333,20.5,57.0,21.25,28.3333333333333,22.75,60.75,26.8333333333333,67.0833333333333,31.5,21.3333333333333,28.75,32.75,20.75,492.916666666666,70.0,49.5,36.0,20.3333333333333,30.0833333333333,71.3333333333333,23.8333333333333,23.5833333333333,74.1666666666666,33.4166666666666,21.25,25.4166666666666,22.25,23.75,20.0833333333333,56.6666666666666,31.75,23.1666666666666,81.25,24.3333333333333,45.5,22.4166666666666,22.0833333333333,28.1666666666666,20.25,373.166666666666,20.75,30.0,20.1666666666666,21.3333333333333,24.5,21.0,20.8333333333333,28.3333333333333,21.0,24.0,24.1666666666666,20.5833333333333,35.0,90.0,40.0833333333333,44.4166666666666,20.1666666666666,21.6666666666666,27.0,24.0,22.0,58.0,23.6666666666666,20.25,20.3333333333333,340.333333333333
10%タイル,23.75,27.0,28.34999999999996,29.39999999999998,24.93333333333332,27.39999999999998,36.7,39.39999999999996,33.87499999999999,37.4666666666666,29.5,24.68333333333327,36.8333333333333,30.0,82.1083333333333,21.8916666666666,22.5,187.7,25.0,22.0416666666666,24.0,25.91666666666665,29.64999999999998,51.7,29.51666666666666,22.866666666666642,23.0833333333333,33.5833333333333,28.7083333333333,27.47499999999998,24.44999999999999,24.68333333333332,30.88333333333328,23.44999999999996,52.91666666666665,24.38333333333328,99.5166666666666,25.5,21.51666666666664,25.06666666666664,23.21666666666661,26.62499999999997,25.25,56.108333333333114,28.23333333333332,20.5,22.13333333333332,54.15,34.266666666666666,22.99166666666662,27.78333333333332,296.333333333333,22.94999999999998,27.79166666666665,27.0,28.9166666666666,22.0,29.39166666666666,44.4,119.3166666666666,30.8,24.44999999999998,23.36666666666664,41.39999999999996,71.98333333333328,25.3333333333333,21.23333333333328,20.87499999999994,27.76666666666666,246.416666666666,35.1666666666666,23.6833333333333,24.5,40.3,23.3333333333333,24.32499999999998,24.42499999999998,35.8333333333333,35.07499999999994,30.3583333333333,32.13333333333328,26.68333333333331,28.96666666666664,89.0,24.12499999999995,38.23333333333332,23.29999999999998,28.66666666666665,147.0,46.37499999999995,23.8,23.0,37.44999999999997,79.6666666666666,24.9166666666666,27.44166666666662,28.650000000000002,30.37499999999994,26.8,22.16666666666664,28.76666666666666,29.71666666666666,26.8666666666666,46.67499999999999,48.5833333333333,37.19166666666661,38.34166666666666,35.0,24.74999999999997,27.49999999999999,61.58333333333328,25.1333333333333,38.74166666666663,25.43333333333328,62.66666666666666,52.86666666666664,75.0583333333333,31.7,23.9166666666666,41.5833333333333,41.64999999999996,23.81666666666662,497.7999999999994,98.81666666666621,51.6666666666666,64.2499999999998,22.41666666666664,40.99999999999998,71.3333333333333,41.16666666666666,29.53333333333332,101.43333333333332,56.316666666666606,32.5,31.56666666666664,22.84999999999994,26.61666666666664,22.0416666666666,89.79166666666652,34.25,31.125,110.075,24.96666666666662,45.93333333333332,25.53333333333332,25.324999999999942,30.56666666666666,39.0,373.166666666666,24.166666666666643,64.25,23.95,23.46666666666666,24.5,24.63333333333328,22.35,30.86666666666664,22.55,29.4,28.25,24.4166666666666,72.5,90.0,42.43333333333332,48.9583333333333,25.78333333333332,26.0,27.0,26.16666666666664,22.675,62.375,32.76666666666662,30.0166666666666,31.74999999999998,340.333333333333
25%タイル,30.3333333333333,38.74999999999995,54.16666666666665,41.18749999999995,33.8333333333333,42.4375,122.0,57.75,60.0,60.56249999999997,44.41666666666665,33.97916666666665,54.87499999999995,46.5833333333333,102.89583333333333,26.74999999999995,26.5833333333333,277.25,32.75,24.6875,30.916666666666625,35.79166666666665,41.6666666666666,58.75,36.12499999999995,28.87499999999995,42.85416666666665,40.0,31.99999999999995,36.0,42.4791666666666,45.8333333333333,45.2083333333333,31.0,85.79166666666666,33.3333333333333,132.54166666666652,30.4583333333333,28.12499999999995,28.24999999999995,28.812499999999975,39.64583333333333,32.16666666666665,92.14583333333283,33.29166666666665,46.7083333333333,26.49999999999995,56.625,43.5,34.9583333333333,41.25,296.333333333333,33.25,37.43749999999995,27.0,36.58333333333333,35.08333333333333,37.49999999999997,135.916666666666,145.29166666666652,42.625,39.5833333333333,32.75,86.2916666666663,114.8333333333333,35.1666666666666,23.9166666666666,29.041666666666625,35.1666666666666,246.416666666666,50.58333333333333,28.7708333333333,30.0,47.0833333333333,65.0,28.16666666666665,40.375,45.75,50.0,53.7916666666666,42.5,33.56249999999995,52.5,104.9375,34.85416666666663,54.66666666666665,38.0,33.41666666666665,147.0,68.24999999999994,30.0833333333333,27.9166666666666,37.99999999999997,79.6666666666666,35.4166666666666,31.22916666666665,34.75,43.72916666666665,30.562499999999975,26.0,33.66666666666665,49.04166666666663,34.64583333333333,50.29166666666665,56.02083333333333,51.85416666666663,48.52083333333327,35.0,40.39583333333327,40.22916666666665,64.62499999999994,36.75,67.22916666666666,33.66666666666665,65.54166666666666,89.25,87.02083333333327,32.0,33.1666666666666,54.7291666666666,64.74999999999994,35.0,505.1249999999995,111.29166666666626,104.2083333333333,106.6249999999995,25.6666666666666,55.99999999999995,71.3333333333333,58.0416666666666,36.25,142.75,90.6666666666666,42.91666666666665,42.4583333333333,26.666666666666625,37.4166666666666,25.31249999999995,139.4791666666664,38.0,42.04166666666665,153.3125,25.9166666666666,46.5833333333333,31.25,30.833333333333275,62.2916666666666,78.7291666666666,373.166666666666,38.6666666666666,115.625,32.7708333333333,27.5,24.5,32.5,25.625,34.66666666666665,25.645833333333275,39.5,56.79166666666665,34.5,108.666666666666,90.0,52.75,73.41666666666666,33.62499999999995,29.04166666666665,27.0,34.75,26.25,93.6875,46.41666666666665,38.3333333333333,84.27083333333333,340.333333333333
中央値,48.29166666666665,84.04166666666666,108.5,78.41666666666666,61.8333333333333,79.8333333333333,179.25,119.916666666666,108.7916666666665,115.375,72.29166666666666,59.2083333333333,137.958333333333,81.6666666666666,134.083333333333,38.3333333333333,39.75,426.5,42.75,40.375,48.5,53.0833333333333,57.0833333333333,70.5,62.0833333333333,41.0833333333333,84.8333333333333,54.8333333333333,63.54166666666665,69.41666666666666,91.4166666666666,60.0833333333333,63.0833333333333,54.0,98.5833333333333,55.6666666666666,187.583333333333,52.1666666666666,54.1666666666666,67.5,46.37499999999995,69.04166666666666,84.0,112.9999999999995,71.6666666666666,57.0833333333333,40.5833333333333,60.0,58.5,58.7916666666666,63.0833333333333,296.333333333333,51.9166666666666,69.04166666666666,27.0,59.0833333333333,60.0,74.24999999999994,188.0,188.583333333333,63.0,51.9166666666666,60.0,134.0,186.25,47.0,35.0833333333333,72.7083333333333,39.8333333333333,246.416666666666,79.9583333333333,47.74999999999995,41.0833333333333,113.0,182.5,48.0833333333333,71.24999999999994,76.0,57.9583333333333,89.8333333333333,78.8333333333333,67.7083333333333,72.5,128.708333333333,66.5833333333333,89.0,80.5833333333333,78.5833333333333,147.0,82.0833333333333,43.8333333333333,44.9166666666666,38.91666666666665,79.6666666666666,66.0833333333333,38.75,52.5,65.3333333333333,42.87499999999995,32.9166666666666,41.8333333333333,82.04166666666666,60.2916666666666,77.62499999999994,99.74999999999966,82.0,74.375,35.0,68.0833333333333,56.7083333333333,74.25,54.4166666666666,122.958333333333,59.75,70.3333333333333,118.75,103.0833333333333,41.0833333333333,50.4166666666666,60.5833333333333,108.583333333333,85.0,517.333333333333,143.708333333333,246.75,306.95833333333303,41.4166666666666,89.5833333333333,71.3333333333333,63.9583333333333,46.5,181.5,128.25,58.3333333333333,98.5833333333333,45.0416666666666,92.25,39.12499999999995,193.1249999999995,44.25,53.62499999999995,225.375,43.75,76.0,40.8333333333333,40.9583333333333,97.2916666666665,132.79166666666652,373.166666666666,116.0,201.25,58.375,30.0,24.5,43.8333333333333,44.0,41.0,31.54166666666665,59.0,120.5,66.5833333333333,142.833333333333,90.0,62.5,100.875,52.25,34.1666666666666,27.0,67.1666666666666,42.62499999999995,202.0,136.0,68.0,96.7916666666665,340.333333333333
75%タイル,99.4791666666666,153.66666666666626,226.1249999999995,170.9375,135.25,153.14583333333275,309.833333333333,217.54166666666652,195.5625,272.020833333333,164.81249999999974,111.229166666666,383.3749999999995,156.125,161.27083333333275,69.41666666666666,82.8333333333333,448.25,98.4166666666666,68.29166666666666,99.70833333333333,94.625,136.0,82.25,123.08333333333326,76.54166666666666,195.04166666666652,136.083333333333,91.58333333333333,126.541666666666,176.125,252.7499999999995,113.833333333333,114.416666666666,145.9375,101.916666666666,242.6249999999995,89.9583333333333,81.66666666666666,111.833333333333,86.27083333333333,174.72916666666652,236.3749999999995,151.833333333333,128.708333333333,173.208333333333,80.37499999999994,95.4166666666665,193.083333333333,115.6666666666665,104.0,296.333333333333,104.25,153.33333333333326,27.0,161.083333333333,120.4374999999995,140.77083333333283,307.0,231.8749999999995,117.708333333333,195.583333333333,125.5,188.291666666666,222.7916666666665,56.0,52.0833333333333,106.5,65.8333333333333,246.416666666666,224.20833333333275,74.39583333333333,106.25,147.75,334.75,73.22916666666666,89.5,113.083333333333,96.875,151.79166666666652,119.375,146.37499999999974,202.5,165.0,87.14583333333333,274.5,143.666666666666,94.56249999999997,147.0,105.47916666666666,89.20833333333314,69.75,39.83333333333333,79.6666666666666,85.1666666666666,68.18749999999994,76.5833333333333,128.43749999999974,68.56249999999994,46.75,74.24999999999966,148.1875,110.729166666666,132.91666666666652,155.66666666666652,115.75,140.7499999999995,35.0,142.22916666666652,91.7291666666665,110.458333333333,73.0833333333333,150.291666666666,88.9166666666665,75.12499999999994,186.083333333333,196.0625,81.5833333333333,92.25,71.3125,164.208333333333,223.5,529.5416666666665,244.33333333333326,340.6249999999995,505.1875,103.416666666666,164.91666666666652,71.3333333333333,94.1458333333332,68.99999999999994,266.333333333333,412.5,137.708333333333,166.833333333333,67.68749999999994,106.583333333333,55.83333333333333,248.7499999999995,78.0416666666665,109.64583333333326,297.4375,46.0,103.833333333333,55.0833333333333,59.70833333333333,291.79166666666623,174.18749999999974,373.166666666666,148.166666666666,267.70833333333303,97.75,82.5,24.5,69.9583333333333,116.083333333333,99.5,98.99999999999974,204.85416666666652,249.083333333333,134.833333333333,244.75,90.0,108.0416666666665,157.08333333333275,137.25,126.6249999999995,27.0,113.5,84.0,291.1041666666665,232.0,138.2499999999995,193.333333333333,340.333333333333
90%タイル,206.73333333333267,322.94166666666587,410.16666666666674,316.25833333333287,275.53333333333296,295.54166666666623,367.7333333333328,337.1499999999998,288.5666666666662,350.6416666666666,211.6833333333333,183.0249999999999,509.45833333333303,288.833333333333,250.08333333333331,133.5999999999998,132.38333333333287,461.3,268.5,121.6249999999995,171.70833333333292,157.41666666666652,337.09999999999945,89.3,303.3166666666665,119.30000000000004,281.0416666666665,190.0,212.833333333333,233.92499999999995,382.2916666666661,332.0333333333327,172.1499999999997,199.66666666666617,214.458333333333,203.59999999999962,275.6499999999994,145.516666666666,170.66666666666603,192.93333333333305,185.70000000000002,348.6499999999997,420.3999999999999,220.233333333333,269.54999999999984,397.166666666666,121.58333333333282,155.56666666666624,260.39999999999935,174.4666666666662,213.79999999999995,296.333333333333,250.56666666666635,166.583333333333,27.0,329.0,211.86666666666662,250.225,316.1,257.8499999999994,292.68333333333305,450.13333333333287,192.616666666666,299.33333333333286,244.71666666666638,112.666666666666,128.7833333333328,132.97499999999968,106.666666666666,246.416666666666,348.33333333333303,133.30833333333317,290.416666666666,179.4499999999994,474.2333333333332,135.73333333333295,200.641666666666,164.8833333333328,180.95000000000005,251.90833333333285,217.50000000000003,199.75000000000006,403.5666666666667,203.25,195.083333333333,433.0166666666664,309.1,185.708333333333,147.0,266.75,176.08333333333317,129.583333333333,40.38333333333333,79.6666666666666,221.916666666666,157.8499999999998,126.74999999999964,162.95833333333297,85.7083333333333,99.18333333333335,93.69999999999946,278.4833333333329,204.69166666666638,213.74166666666608,182.75,173.54999999999978,278.8499999999994,35.0,244.8166666666665,152.7333333333331,148.8999999999998,125.80000000000004,227.16666666666663,177.8833333333332,77.99999999999994,298.7666666666664,346.4750000000001,180.98333333333335,290.166666666666,236.958333333333,281.4999999999998,274.96666666666636,536.8666666666666,351.78333333333285,382.166666666666,543.775,181.3333333333328,412.58333333333314,71.3333333333333,332.43333333333305,129.60000000000008,347.8333333333332,483.49999999999983,236.5,225.9333333333332,78.94999999999996,109.0833333333328,102.89999999999993,301.99999999999983,98.3166666666664,152.69166666666638,340.675,63.64999999999996,117.033333333333,126.39999999999935,87.66666666666664,401.9916666666663,266.291666666666,373.166666666666,216.13333333333304,307.5833333333328,184.46666666666613,364.40000000000003,24.5,138.79999999999987,188.54999999999978,134.6,168.02499999999998,324.89166666666597,302.333333333333,246.916666666666,357.25,90.0,285.3000000000002,315.33333333333303,196.91666666666598,249.75,27.0,169.9333333333332,277.2999999999994,383.9166666666662,257.2,244.4,254.99166666666628,340.333333333333
max,594.833333333333,494.5,518.083333333333,582.25,586.0,590.333333333333,575.25,590.0,515.0,531.083333333333,409.5,598.0,531.583333333333,594.5,267.666666666666,553.583333333333,491.833333333333,470.0,426.5,449.416666666666,486.0,215.0,596.166666666666,94.0,550.166666666666,540.166666666666,560.0,295.083333333333,333.666666666666,378.916666666666,566.0,572.666666666666,457.0,593.333333333333,269.666666666666,561.083333333333,297.666666666666,552.333333333333,399.333333333333,312.083333333333,576.166666666666,587.083333333333,558.0,265.833333333333,534.833333333333,412.0,404.75,195.666666666666,509.833333333333,443.166666666666,322.75,296.333333333333,418.166666666666,236.916666666666,27.0,576.833333333333,595.0,288.25,319.5,275.166666666666,509.5,555.166666666666,400.666666666666,397.833333333333,259.333333333333,268.083333333333,570.833333333333,174.75,385.25,246.416666666666,550.166666666666,368.0,569.833333333333,190.583333333333,477.166666666666,330.166666666666,314.416666666666,193.75,528.75,524.25,315.0,287.583333333333,459.75,205.0,536.916666666666,440.916666666666,505.0,251.5,147.0,422.5,360.333333333333,293.416666666666,40.75,79.6666666666666,238.083333333333,214.666666666666,226.25,260.833333333333,115.666666666666,340.166666666666,106.666666666666,496.666666666666,416.166666666666,524.5,205.0,264.666666666666,518.583333333333,35.0,522.0,359.5,493.666666666666,166.0,581.0,215.083333333333,79.9166666666666,377.5,446.75,247.25,386.833333333333,400.666666666666,522.75,565.833333333333,541.75,587.916666666666,477.666666666666,569.5,264.666666666666,516.25,71.3333333333333,419.833333333333,404.833333333333,373.166666666666,530.833333333333,255.416666666666,265.833333333333,104.75,112.75,302.916666666666,337.5,111.833333333333,439.416666666666,369.5,75.4166666666666,125.833333333333,488.25,257.166666666666,544.416666666666,493.166666666666,373.166666666666,364.833333333333,334.166666666666,275.25,506.0,24.5,402.75,306.0,158.0,397.416666666666,470.916666666666,550.666666666666,475.666666666666,575.25,90.0,550.5,529.666666666666,252.166666666666,293.0,27.0,533.083333333333,388.75,442.25,274.0,315.666666666666,399.833333333333,340.333333333333
