料理カテゴリ,ランク,Top3変数
もつ焼き,75~150,"AGE_RESTAURANT, HOLIDAY, CITY_count"
もつ焼き,300~,"DINNER_PRICE, seats_rate_count, RATING_CNT"
ホルモン,20~75,"DINNER_PRICE, IS_ALONE_FRIENDLY, DINNER_INFO"
ホルモン,75~150,"rate_count, seats_rate_count, HOLIDAY"
ホルモン,150~300,"IS_FAMILY_FRIENDLY, DISTANCE_VALUE, NUM_SEATS"
もんじゃ焼き,20~75,"CITY_count, DISTANCE_VALUE, seats_rate_count"
もんじゃ焼き,75~150,"NEAREST_STATION_INFO_count, NUM_SEATS, AGE_RESTAURANT"
もんじゃ焼き,150~300,"DINNER_INFO, seats_rate_count, RATING_CNT"
もんじゃ焼き,300~,"IS_FAMILY_FRIENDLY, DISTANCE_VALUE, RATING_SCORE"
ピザ,20~75,"LUNCH_INFO, AVG_MONTHLY_POPULATION, LUNCH_PRICE"
ピザ,75~150,"AGE_RESTAURANT, DINNER_INFO, IS_FRIEND_FRIENDLY"
串揚げ,20~75,"LUNCH_PRICE, NUM_SEATS, IS_ALONE_FRIENDLY"
串揚げ,75~150,"DISTANCE_VALUE, LUNCH_INFO, AVG_MONTHLY_POPULATION"
バル,20~75,"DISTANCE_VALUE, NUM_SEATS, LUNCH_INFO"
焼鳥,20~75,"rate_count, RATING_CNT, DISTANCE_VALUE"
焼鳥,75~150,"RATING_SCORE, CITY_count, rate_count"
焼鳥,150~300,"DINNER_PRICE, LUNCH_PRICE, NEAREST_STATION_INFO_count"
洋食,20~75,"seats_rate_count, PHONE_NUM, RATING_SCORE"
洋食,75~150,"CITY_count, DINNER_INFO, LUNCH_INFO"
洋食,300~,"RATING_SCORE, DINNER_INFO, IS_FAMILY_FRIENDLY"
鉄板焼き,20~75,"IS_FRIEND_FRIENDLY, RATING_SCORE, HOME_PAGE_URL"
鉄板焼き,75~150,"HOLIDAY, IS_ALONE_FRIENDLY, NUM_SEATS"
ビストロ,20~75,"IS_FRIEND_FRIENDLY, LUNCH_INFO, seats_rate_count"
ビストロ,75~150,"NEAREST_STATION_INFO_count, DISTANCE_VALUE, NUM_SEATS"
食堂,20~75,"DISTANCE_VALUE, RATING_SCORE, LUNCH_INFO"
うなぎ,20~75,"LUNCH_PRICE, seats_rate_count, RATING_SCORE"
うなぎ,75~150,"IS_FAMILY_FRIENDLY, LUNCH_PRICE, LUNCH_INFO"
