,20~75
AVG_MONTHLY_POPULATION,-0.18961253708537393
NEAREST_STATION_INFO_count,0.24659010737499745
DISTANCE_VALUE,-0.1135004641990108
RATING_CNT,-0.21758850248121378
RATING_SCORE,-0.16475958211661035
IS_FAMILY_FRIENDLY,-0.1912066785331556
IS_FRIEND_FRIENDLY,-0.44415718034264234
IS_ALONE_FRIENDLY,0.33656390843793493
DINNER_INFO,-0.10425720159014586
LUNCH_INFO,-0.4117793219713813
DINNER_PRICE,-0.08212877668615041
LUNCH_PRICE,0.13695548129953303
HOLIDAY,-0.0007076488930898822
HOME_PAGE_URL,-0.11217451709123864
PHONE_NUM,0.14190222031233926
NUM_SEATS,-0.1109646292736423
AGE_RESTAURANT,-0.38159612280451083
CITY_count,-0.12818241763223912
rate_count,-0.21591706605619518
seats_rate_count,-0.19520694091896265
