,20~75
AVG_MONTHLY_POPULATION,0.22149814214402003
NEAREST_STATION_INFO_count,0.015414259430881788
DISTANCE_VALUE,0.09755446349524688
RATING_CNT,0.2586336153758338
RATING_SCORE,0.019204531563656656
IS_FAMILY_FRIENDLY,-0.09451204928616347
IS_FRIEND_FRIENDLY,0.17341604713031983
IS_ALONE_FRIENDLY,0.20067903981192248
DINNER_INFO,-0.08585266586498923
LUNCH_INFO,-0.06911019665655446
DINNER_PRICE,-0.0289210272378498
LUNCH_PRICE,0.13760561520781825
HOLIDAY,0.05641814813996304
HOME_PAGE_URL,0.09823375938620157
PHONE_NUM,-0.18694343604299493
NUM_SEATS,0.28501975381639166
AGE_RESTAURANT,0.2640550664514936
CITY_count,0.044850859288793406
rate_count,0.2508164816654851
seats_rate_count,0.34305941524143024
